,names_on_brewery_api,name_on_yelp,yelp_business_id,yelp_rating,yelp_review_count,yelp_closed_status
273,Heroes Restaurant and Brewery,Heroes Restaurant and Brewery,TRI-OJfrvyZ74rtqlFSFxw,3.5,1657,False
274,5150 Brewing At The Brass Tap Rocklin,The Brass Tap,rfmLPZgKaaCe5UUJzmR9hA,3.5,136,False
275,Moksa Brewing Co,Moksa Brewing,jkpjsprIBJYsF8McoyUrVQ,4.0,123,False
276,Out of Bounds Brewing Company,Out of Bounds Brewing Company,0b7iI2zmljtPbJl7usd_DQ,4.0,231,False
277,Bear Republic Brewing Co Pub & Restaurant - Lakeside,Bear Republic Brewing Co.,nq_hOFGmTuxEK3U5T1z5CQ,3.5,361,False
278,Monk's Cellar,The Monk's Cellar,sgsfRKb4RRUhIxqI4giqOA,4.0,745,False
279,Fountainhead Brewing Co,Fountainhead Brewing Company,9_l2QvWvAODzCAXCyN6I9Q,4.5,62,False
280,Jackrabbit Brewing Co,Jackrabbit Brewing Company,mWHw3PUu97r5EPCjw2UTJA,4.5,86,False
281,Track 7 Brewing Co - Natomas,Track 7 Brewing,YhvBVizzC9ja3OBYwlF_0A,4.5,565,False
282,Urban Roots Brewing,Urban Roots Brewing & Smokehouse,VBpR00rBHev0vguFUkXP9w,4.0,351,False
283,Alaro Craft Brewery,Alaro Craft Brewery,9s-PNE7hYsTFuIfbnp_IUw,4.0,141,False
284,At Ease Brewing,The Pizza Press,E0gQQnBzc5AOTVJcKntl-Q,4.0,107,False
285,Big Sexy Brewing Company,Big Sexy Brewing Company,RYIXtNiu9ZPNrBVau6YQmA,4.5,61,False
286,Big Stump Brewing Company,Big Stump Brew Company,JJNscmen5hkgYvYjFwOYBg,4.5,134,False
287,Bike Dog Brewing Co,Bike Dog Brewing Co,a4Ll47rfTNfKOQeB3XeqPQ,4.5,202,False
288,Device Brewing Company,Device Brewing Company,2j3WSZGdIRl_UY2T8iwcxg,4.0,1,False
289,Golden Road Brewing Co,Big Stump Brew Company,JJNscmen5hkgYvYjFwOYBg,4.5,134,False
290,Hoppy Brewing Co,Hoppy Brewing Company,6h7Ilfb3LyOLdyNgz8IqWw,3.0,10,False
291,King Cong Brewing Company,Bike Dog Broadway Taproom,44WaOPBx66bwl05eEGLYLQ,4.0,66,False
292,New Glory Craft Brewery,New Glory Craft Brewery,fbQGkj-bbZTH9YlZL7gCWA,4.5,150,False
293,New Helvetia Brewing Company,New Helvetia Brewing Company,yXpayno4Ve6WY8jyEB60Jw,4.0,216,False
294,Oak Park Brewing Co,Oak Park Brewing Company,VAV2rqFVjsNo0gS_Z57wFw,3.5,555,True
295,Ruhstaller Beer,Ruhstaller Beer,Gz-vlPOjuhmtXuApJRqrQg,4.5,123,False
296,Blue Oak Brewing Co,Blue Oak Brewing Company,lCLVMhfyBhzihMfK-9e19A,4.5,62,False
297,Devil's Canyon Brewing Company,Devil's Canyon Brewing Company,HIuzK5dxPnErpYTt0LVnFw,4.0,160,False
298,Left Coast Brewing Co.,Left Coast Brewing Company,o4Qp5Y3vNv0mxB_C3IwijQ,4.5,121,False
299,Pizza Port San Clemente,Pizza Port,oLiXTG2rMeMJyjJgH-dguw,4.0,825,False
300,Abnormal Beer Company,Abnormal Beer Company,J5XV_N6pu6TNVQwVYfxS9Q,5.0,6,False
301,Brewery in Planning - San Diego,Mission Brewery,iklaPUIKWq26LUJv7e681w,4.5,675,False
302,Eppig Brewing,Eppig Brewing,QLODIRR2LozK43SpaXwBug,4.5,98,False
303,Mike Hess Brewing - Miramar,Mike Hess Brewing Company,7KWYNITYigID03T07uO6vw,4.5,186,False
304,New English Brewing Co Inc,Societe Brewing Company,i0z5qviFAZe5knHFwSIYSg,4.0,600,False
305,Stone Brewing World Bistro & Gardens- Liberty Station,Stone Brewing World Bistro & Gardens - Liberty Station,7o_XZUi0pBQldtxOgbjSwA,3.5,1983,False
306,Thunderhawk Alements,Thunderhawk Alements,XjzSxP-UpB4FxkZ25BOMkg,4.5,55,False
307,Alta Brewing Company,Alta Brewing Co,qYzSjAi0uYTAy7Kc6cdv_g,4.5,27,False
308,10 Barrel Brewing Co,10 Barrel Brewing - San Diego,8nEOrZJXEPbB7omJwyM1JQ,4.5,356,False
309,2Kids Brewing Company,2kids Brewing Co,8WhmaCOxMwI4C0GUN8xIng,4.0,86,False
310,Align Brewing Co,Align Brewing Company,oRklvAfkXZIfStflDPHSKg,4.5,17,False
